product_id,product_name,brand,price,image_url,page_url,category
1,살몬 케어링 센텔라 토너 200ml,헤브블루,"41,900",https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0019/A00000019950707ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199507&dispCatNo=100000100010013&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=22,스킨/토너
2,티트리시카수딩토너 500mL+200리필,브링그린,"37,800",https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0020/A00000020515509ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000205155&dispCatNo=100000100010013&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=9,스킨/토너
3,어성초 카밍 토너 스킨부스터 더블,아비브,"39,000",https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0014/A00000014658909ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146589&dispCatNo=100000100010013&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=10,스킨/토너
4,1번 진정 맑게담은 청초토너 300ml 리필,넘버즈인,"40,000",https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0019/A00000019039510ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190395&dispCatNo=100000100010013&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=11,스킨/토너
5,어성초 77 수딩 토너 350ml 리필,아누아,"49,000",https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0016/A00000016667511ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000166675&dispCatNo=100000100010013&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=16,스킨/토너
6,다이브인 저분자 히알루론산 토너 500ml,토리든,"29,000",https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0019/A00000019710205ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000197102&dispCatNo=100000100010013&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=2,스킨/토너
7,1025 독도 토너 500ml,라운드랩,"45,000",https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0011/A00000011665911ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000116659&dispCatNo=100000100010013&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=18,스킨/토너
8,어성초 77 토너 350ml,아누아,"30,500",https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0014/A00000014733911ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147339&dispCatNo=100000100010013&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=6,스킨/토너
9,레드 블레미쉬 클리어 수딩 토너 300ml 1+1,닥터지,"31,000",https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0015/A00000015417707ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154177&dispCatNo=100000100010013&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=11,스킨/토너
10,하이드라비오 토너 500ml,바이오더마,"38,000",https://image.oliveyoung.co.kr/uploads/images/goods/400/10/0000/0000/A00000000443410ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000004434&dispCatNo=100000100010013&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=13,스킨/토너
